area,company,hourly_wage,area1,area2,outlier,name
강남구 삼성동,gs25 오크우드점,5600,강남구,삼성동,0,gs25
강남구 삼성동,gs25 코엑스점,5700,강남구,삼성동,0,gs25
강서구 화곡동,gs25편의점,5600,강서구,화곡동,0,gs25
광진구 군자동,gs25,5580,광진구,군자동,0,gs25
광진구 중곡동,gs25중곡대원점,5580,광진구,중곡동,0,gs25
구로구 구로동,gs25구로동양점,6000,구로구,구로동,0,gs25
구로구 구로동,gs25구로동양점,5580,구로구,구로동,0,gs25
동대문구 장안동,gs25장안중앙점,5600,동대문구,장안동,0,gs25
마포구 서교동,gs25 홍대아트점,5600,마포구,서교동,0,gs25
성동구 금호동4,gs25 서울숲푸르지오점,6000,성동구,금호동4,0,gs25
성북구 동소문동,gs25동소문본점,5580,성북구,동소문동,0,gs25
성북구 하월곡동,gs25 성북 푸르지오,5800,성북구,하월곡동,0,gs25
송파구 송파동,gs25송파중앙점,5600,송파구,송파동,0,gs25
영등포구 영등포동,gs25,6300,영등포구,영등포동,0,gs25
은평구 신사동,gs25,5580,은평구,신사동,0,gs25
종로구 관수동,gs25 국일관점,5600,종로구,관수동,0,gs25
중구 소공동,gs25,5600,중구,소공동,0,gs25
중구 신당동,gs25,5580,중구,신당동,0,gs25
강남구 논현동,세븐일레븐 논현11호점,6200,강남구,논현동,0,7/11
강남구 신사동,편의점/ 세븐일레븐 압구정 리갈펠리스점,5600,강남구,신사동,0,7/11
강남구 논현동,세븐일레븐 논현제일점,5700,강남구,논현동,0,7/11
강남구 대치4동,세븐일레븐 대치6호점,5580,강남구,대치4동,0,7/11
강남구 역삼동,세븐일레븐,5800,강남구,역삼동,0,7/11
강남구 논현동,세븐일레븐,5580,강남구,논현동,0,7/11
강남구 역삼동,세븐일레븐,5580,강남구,역삼동,0,7/11
강남구 대치동,세븐일레븐,5580,강남구,대치동,0,7/11
강남구 역삼동,세븐일레븐 강남KT지점,5580,강남구,역삼동,0,7/11
강남구 대치동,세븐일레븐 대치3호점,6000,강남구,대치동,0,7/11
강남구 역삼동,세븐일레븐 역삼 13호점,5600,강남구,역삼동,0,7/11
강남구 논현동,세븐일레븐편의점,7500,강남구,논현동,0,7/11
강남구 청담동,세븐일레븐 청담그린점,6500,강남구,청담동,0,7/11
강남구 논현동,세븐일레븐 논현학동,5600,강남구,논현동,0,7/11
강동구 천호2동,세븐일레븐,6000,강동구,천호2동,0,7/11
강북구 미아동,"세븐일레븐 수유점,도봉세무서점",5580,강북구,미아동,0,7/11
강서구 마곡동,마곡엠벨리 세븐일레븐,5580,강서구,마곡동,0,7/11
강서구 공항동,세븐일레븐,5580,강서구,공항동,0,7/11
강서구 가양동,세븐일레븐 마포우성점,5580,강서구,가양동,0,7/11
강서구 등촌동,세븐일레븐 서울호서대점,6600,강서구,등촌동,0,7/11
강서구 화곡동,세븐일레븐 화곡역점,5580,강서구,화곡동,0,7/11
강서구 등촌동,세븐일레븐등촌5호점,6000,강서구,등촌동,0,7/11
강서구 등촌동,세븐일레븐등촌5호점,5600,강서구,등촌동,0,7/11
관악구 인헌동,세븐일레븐 봉천제일점,5580,관악구,인헌동,0,7/11
관악구 신림동,세븐일레븐,5700,관악구,신림동,0,7/11
관악구 인헌동,세븐일레븐 낙성대점,6000,관악구,인헌동,0,7/11
관악구 신림동,세븐일레븐 소리나점,5580,관악구,신림동,0,7/11
광진구 군자동,세븐일레븐,5580,광진구,군자동,0,7/11
광진구 자양동,세븐일레븐 노유로데오,5600,광진구,자양동,0,7/11
광진구 능동,세븐일레븐 능동시티점,5580,광진구,능동,0,7/11
광진구 광장동,세븐일레븐 광장점,5700,광진구,광장동,0,7/11
광진구 중곡동,세븐일레븐 중곡대원여고점,5900,광진구,중곡동,0,7/11
광진구 능동,세븐일레븐 능동빌리지점,5580,광진구,능동,0,7/11
구로구 구로동,세븐일레븐 구로점,5700,구로구,구로동,0,7/11
구로구 개봉동,세븐일레븐/개봉점,5600,구로구,개봉동,0,7/11
구로구 구로4동,세븐일레븐 구로리공원점,6500,구로구,구로4동,0,7/11
구로구 구로동,세븐일레븐/구로공단점,5580,구로구,구로동,0,7/11
구로구 구로4동,세븐일레븐 구로리공원점,5580,구로구,구로4동,0,7/11
구로구 개봉동,세븐일레븐/개봉점,6200,구로구,개봉동,0,7/11
금천구 독산동,세븐일레븐시?ic점,5600,금천구,독산동,0,7/11
