,area1,hourly_wage
5,구로구,6000
9,성동구,6000
13,영등포구,6300
18,강남구,6200
27,강남구,6000
29,강남구,7500
30,강남구,6500
32,강동구,6000
37,강서구,6600
39,강서구,6000
43,관악구,6000
53,구로구,6500
56,구로구,6200
60,도봉구,6500
61,동대문구,6300
63,동대문구,6000
66,마포구,6000
68,마포구,6000
72,마포구,6500
89,성동구,6500
95,송파구,6000
106,영등포구,6000
107,영등포구,6200
113,용산구,6000
118,은평구,6000
121,종로구,6480
128,종로구,6480
132,중구,6000
133,중구,6300
135,중구,6690
137,중구,6500
138,중구,6000
142,강남구,6000
143,강남구,6100
144,강남구,6000
145,강남구,6500
147,강서구,6000
151,금천구,6300
152,금천구,6300
160,서대문구,6900
161,서대문구,6500
162,서대문구,6000
164,서초구,6000
166,성동구,6000
172,용산구,6600
173,용산구,7500
175,은평구,6000
